area,route_name,date,gpx_file,url
東北,下大戸沢雪崩,2025年02月09日(日),routes/track-7785196.gpx,https://www.yamareco.com/modules/yamareco/detail-7785196.html
北陸,パーク獅子吼→アゾ谷山→獅子吼高原周回コース,2025年02月10日(月),routes/track-7785205.gpx,https://www.yamareco.com/modules/yamareco/detail-7785205.html
道北・利尻,三頭山,2025年02月10日(月),routes/track-7785216.gpx,https://www.yamareco.com/modules/yamareco/detail-7785216.html
十勝連峰,【北海道遠征】富良野岳ジャイアント尾根,2025年02月10日(月),routes/track-7785264.gpx,https://www.yamareco.com/modules/yamareco/detail-7785264.html
道北・利尻,南浅羽山,2025年02月10日(月),routes/track-7785278.gpx,https://www.yamareco.com/modules/yamareco/detail-7785278.html
積丹・ニセコ・羊蹄山,ニセコアンヌプリ　藤原の沢回し,2025年02月10日(月),routes/track-7785346.gpx,https://www.yamareco.com/modules/yamareco/detail-7785346.html
北陸,御世仏山,2025年02月10日(月),routes/track-7785414.gpx,https://www.yamareco.com/modules/yamareco/detail-7785414.html
北海道,三面山　BC,2025年02月10日(月),routes/track-7785459.gpx,https://www.yamareco.com/modules/yamareco/detail-7785459.html
白山,野伏ヶ岳（山頂手前まで）　白山中居神社から,2025年02月10日(月),routes/track-7785486.gpx,https://www.yamareco.com/modules/yamareco/detail-7785486.html
札幌近郊,三菱山と旭山記念公園,2025年02月10日(月),routes/track-7785526.gpx,https://www.yamareco.com/modules/yamareco/detail-7785526.html
道北・利尻,神楽山,2025年02月10日(月),routes/track-7785602.gpx,https://www.yamareco.com/modules/yamareco/detail-7785602.html
札幌近郊,手稲ネオパラ,2025年02月10日(月),routes/track-7785674.gpx,https://www.yamareco.com/modules/yamareco/detail-7785674.html
甲信越,里山　山スキー　2日,2025年02月08日(土),routes/track-7785676.gpx,https://www.yamareco.com/modules/yamareco/detail-7785676.html
槍・穂高・乗鞍,位ケ原(乗鞍),2025年02月10日(月),routes/track-7785730.gpx,https://www.yamareco.com/modules/yamareco/detail-7785730.html
